flavor5,7,0.138574,-0.108636,0.21041,0.265848,-0.117683,-0.130139,0.245666,-0.0326078,-0.174338,0.0334546,0.0751426,-0.0874627,0.101583,-0.191744,0.027046,-0.0435748,-0.104288,0.0922782,-0.0108598,-0.181587,0.0753229,-0.0935838,0.0364955,0.0335531,0.144829,0.048312,-0.0515663,-0.060566,1.5,0.790569,3,1
flavor6,7,0.00549143,0.215634,0.243836,0.24391,-0.143181,-0.100792,-0.0493013,-0.0761984,-0.0931309,-0.0279381,-0.248042,-0.0866255,0.00593029,-0.062362,-0.111385,0.104022,0.0705195,-0.145089,0.190552,0.0830261,-0.107326,-0.030422,0.0889421,-0.00657403,-0.109938,-0.0862424,-0.000335,0.0340142,2.55556,1.77082,2.66667,2.35702
flavor7,7,0.16678,0.172186,0.100897,0.0772841,0.0843569,-0.0853993,0.230443,0.259609,0.0316238,-0.0433917,0.228475,0.168688,-0.081526,0.00336413,0.0784506,0.16082,0.0488756,-0.162002,-0.288603,-0.578551,0.0387668,0.0596177,-0.172416,-0.295342,-0.00836473,0.00795702,-0.0526202,0.0172673,2.375,2.34187,3,2
flavor8,7,-0.0796142,0.0351434,0.00517373,0.218844,0.161029,-0.23175,-0.0346069,0.0755834,0.0559686,0.119757,-0.261709,0.0625052,-0.075034,0.016962,-0.298031,-0.0683831,-0.154615,0.164068,0.0410938,-0.0377083,-0.0847381,0.0951605,-0.0925807,-0.0443017,-0.0435068,-0.0132375,-0.10132,0.0853149,2.44,1.92,1.66667,0.471405
flavor9,7,0.0695951,0.193376,0.0639048,0.0925861,0.0142115,-0.0849686,-0.140349,-0.155057,0.149703,-0.193111,-0.154482,-0.127402,-0.090649,0.146567,0.0926219,-0.0298753,0.0697346,-0.214282,-0.135226,0.0462274,0.0668438,-0.0814042,0.0626412,-0.0566929,-0.0920182,0.116501,0.0862933,0.0149867,2,1.59545,3,2.16025
flavor5,7,0.146077,-0.08307,-0.0246493,0.134653,0.0854083,-0.121266,-0.0616398,-0.0185256,0.103137,-0.0843595,0.111245,-0.208913,0.0673349,0.145163,0.119876,-0.18607,0.133319,-0.10165,-0.0645475,0.211136,0.0748013,0.0718361,-0.161987,0.0279934,0.194002,0.178645,-0.124858,-0.0280567,2.07143,1.27975,1,0
flavor6,7,-0.103496,-0.0700094,0.129569,-0.0143298,-0.195096,-0.0619446,-0.0138238,0.201486,-0.171843,-0.0787045,0.0540283,0.00731864,0.125736,-0.057372,-0.00455563,-0.0840515,-0.171836,-0.192264,0.0513703,0.0857061,-0.0108438,0.0137028,0.131456,0.394078,0.151784,0.227225,0.177751,0.348374,3,2,1,0
flavor8,7,-0.0831595,0.0917189,0.24482,0.210894,0.0252591,0.0990349,-0.124416,0.0430786,-0.138389,0.0409269,-0.00524221,0.0579993,0.00942756,0.190552,-0.0939223,0.010166,-0.121805,-0.0391158,0.00481332,0.230061,0.127028,0.0260921,0.0453786,-0.254784,-0.0633472,-0.0798379,0.030278,-0.00856693,2.93103,2.43439,2.4,1.49666
flavor9,7,0.173333,-0.15247,-0.0611974,0.119658,-0.159731,-0.0106879,0.0567591,-0.0530805,-0.0961634,-0.242476,0.0963315,-0.21609,0.0747946,0.161802,-0.0864256,0.169291,-0.0720577,0.0201416,0.111796,0.303085,0.0529047,0.0991902,0.0733036,0.266574,0.000127147,-0.071654,-0.0676489,0.180568,2,1.55456,2,0
flavor10,7,0.655074,1.25384,1.90853,2.12942,0.0936869,-0.0435958,-0.0468434,0.00439017,0.0115091,0.00501389,-0.00575456,0.171607,0.0414556,-0.0643602,0.0249533,-0.0664088,-0.0989278,-0.0738348,-0.0110715,0.0696424,-0.116665,-0.0186045,0.214889,0.00614671,0.0778425,-0.0349882,-0.122853,0.0266662,1.66667,0.745356,8,0
flavor11,7,0.275617,0.37244,0.283879,0.477638,-0.086526,-0.163728,0.0252548,0.0764533,0.0814662,-0.161192,0.175427,-0.111984,-0.0883465,-0.163375,-0.00857201,0.0974191,-0.108423,0.146904,-0.144995,0.116274,0.0867623,-0.0444999,0.0255068,-0.0168876,-0.13967,0.137113,0.0950671,-0.00311214,2.4375,1.76666,5,0
flavor14,7,0.0347142,0.132747,0.0696574,-0.198214,-0.0865439,0.0767745,-0.318114,-0.00327454,-0.128563,0.324197,0.0260746,0.0816284,-0.00173315,0.170933,-0.029617,-0.037228,-0.062368,-0.0548138,-0.000131143,0.188954,0.128601,-0.0875291,-0.0483594,-0.250226,-0.0412098,0.180431,0.186286,0.197892,3.33333,2.10819,2,1
flavor2,7,0.0749723,-0.285525,-0.105997,-0.267554,0.0621637,-0.164575,-0.160058,-0.254929,0.0504687,-0.0393264,-0.224233,-0.456637,-0.0463002,-0.0757206,-0.498986,-0.574386,-0.086939,0.121574,0.33244,0.380087,0.0725507,0.445882,0.434904,0.887613,-0.0441677,-0.187163,-0.00941413,-0.0111318,3.57143,2.96923,5.33333,1.88562
flavor5,7,-0.0956873,0.128901,0.0254823,0.176943,-0.0937859,0.0238317,0.077028,0.230559,0.142457,-0.140892,-0.111487,-0.292247,0.109037,-0.164433,-0.028933,-0.208209,-0.0363981,0.155708,0.224233,-0.0629428,0.0790173,-0.0586319,-0.295346,-0.34146,-0.0177106,-0.0851596,0.126683,0.303312,2.6,1.92527,2.5,1.5
flavor8,7,0.000354747,0.10257,-0.00502661,-0.22307,-0.171616,0.0485744,0.0860497,-0.040505,-0.0706067,0.112067,0.00987449,-0.0692034,-0.130289,0.0777266,0.0424267,-0.126337,0.144621,-0.00262525,0.0723134,-0.222523,-0.0922934,0.00371599,0.0411837,-0.0272246,0.0930083,0.121077,0.00571877,-0.0984391,2.64865,2.06929,1,0
